Word,Accuracy,Correct,Total
something,0.9286,13,14
what,0.8182,9,11
public,0.6667,16,24
some,0.7,14,20
out,0.6364,7,11
look,1.0,10,10
they,0.5,4,8
in,0.6667,4,6
during,0.9524,20,21
at,0.5714,4,7
once,0.4,4,10
see,1.0,13,13
few,1.0000,14,14
only,0.9474,18,19
over,0.5556,5,9
have,0.3333,1,3
about,0.7333,11,15
them,0.3,3,10
like,1.0,9,9
do,0.85,17,20
on,1.0,6,6
health,0.6,3,5
by,0.625,5,8
art,0.5294,9,17
had,0.4,2,5
way,1.0,20,20
just,0.8,8,10
between,0.3,3,10
take,0.5455,12,22
your,1.0,12,12
now,0.6333,19,30
better,0.7917,19,24
think,0.75,12,16
being,0.3333,3,9
where,0.8571,6,7
such,0.9545,21,22
was,0.4286,3,7
as,0.9,9,10
free,0.375,3,8
you,1.0,35,35
information,0.8571,6,7
same,0.9167,11,12
time,1.0,15,15
money,0.6667,2,3
both,0.6957,16,23
right,0.7576,25,33
are,1.0,8,8
work,0.8333,15,18
her,1.0,24,24
than,0.25,2,8
very,0.6087,14,23
down,0.5,4,8
his,0.8947,17,19
our,0.9000,9,10
want,0.5,8,16
and,1.0,5,5
best,0.5,4,8
so,0.6667,4,6
world,0.3636,4,11
should,0.75,6,8
1,1.0,13,13
an,1.0,15,15
can,0.9583,23,24
life,0.4615,6,13
it,1.0,10,10
fish,0.625,5,8
different,0.8889,8,9
before,0.5789,11,19
learn,0.75,18,24
because,0.7,7,10
human,1.0,11,11
be,0.9333,14,15
of,0.8696,20,23
available,0.8889,16,18
he,0.8182,9,11
become,0.5556,10,18
but,1.0,10,10
these,1.0,18,18
however,0.7143,5,7
first,0.9375,15,16
water,1.0,8,8
need,0.8889,32,36
two,1.0,4,4
one,1.0,10,10
meat,0.9091,10,11
us,0.6842,13,19
up,0.9167,22,24
field,0.3333,1,3
throat,0.0,0,1
dead,0.0,0,1
confidence,0.0,0,1
path,1.0,1,1
serve,0.0,0,1
hurt,1.0,1,1
egg,0.0,0,1
surprise,0.0,0,1
harm,0.0,0,1
detailed,1.0,1,1
close,0.0,0,2
investment,0.8333,5,6
construction,0.0,0,1
generate,1.0,1,1
tune,0.0,0,1
introduction,0.5,1,2
engineer,0.0,0,1
despite,0.0,0,1
peak,1.0000,2,2
truth,0.0,0,1
age,0.0,0,1
state,0.0,0,4
share,1.0,1,1
hall,1.0,1,1
essay,1.0,1,1
bitter,0.0,0,1
interest,0.4,2,5
inner,0.0,0,1
naturally,0.0,0,1
willing,0.0,0,1
insurance,0.0,0,1
commercial,1.0,1,1
survive,1.0,1,1
regularly,0.0,0,1
able,0.7083,17,24
analyst,0.0,0,1
agency,1.0,1,1
carry,0.5,1,2
effort,1.0,1,1
account,1.0,1,1
father,0.0,0,1
recently,1.0,1,1
suffer,0.0,0,1
poet,0.0,0,1
court,0.0,0,1
brother,0.0,0,1
requirement,1.0,1,1
struggle,0.0,0,1
technology,1.0,1,1
scale,0.0,0,1
tight,1.0,1,1
program,0.0,0,1
forward,0.0,0,1
week,0.0,0,1
merely,1.0,1,1
seat,0.0,0,1
below,0.0,0,1
chemical,1.0,1,1
great,0.6364,7,11
cable,0.0,0,1
after,0.72,18,25
word,0.6,3,5
relax,1.0,1,1
reward,0.0,0,1
known,0.5833,7,12
remove,0.0,0,1
mother,0.0,0,1
guess,1.0,1,1
soil,1.0,1,1
direction,0.0,0,1
rely,1.0,1,1
tower,0.0,0,1
feature,0.0,0,1
crack,0.0000,0,2
anywhere,0.0,0,1
pay,0.625,5,8
serious,0.0,0,1
score,1.0,1,1
acceptable,0.0,0,1
instance,0.0,0,1
course,0.875,14,16
separate,1.0,1,1
period,0.0,0,1
efficiency,1.0,1,1
pound,0.0,0,1
spell,0.0,0,2
ring,0.0,0,1
easily,1.0,1,1
shoot,0.0,0,1
relative,1.0,1,1
been,1.0,6,6
get,0.8182,9,11
used,0.9,9,10
read,0.7895,15,19
with,1.0,9,9
most,1.0,9,9
year,0.2500,2,8
around,0.7037,19,27
know,0.25,1,4
business,1.0,3,3
local,0.8,12,15
another,0.75,3,4
all,1.0,6,6
game,0.9444,17,18
system,0.3333,1,3
new,0.95,19,20
thick,0.0,0,1
departure,1.0,1,1
hesitate,0.0,0,1
bend,0.0,0,1
preference,0.0,0,1
type,0.8889,8,9
woman,0.0,0,1
extent,0.0,0,3
bird,1.0,5,5
cat,1.0,1,1
express,0.0,0,1
incident,0.0,0,1
commit,0.0,0,1
together,0.2,1,5
rent,0.0,0,1
private,0.0,0,1
shame,0.0,0,2
understanding,0.8125,13,16
focus,0.5714,4,7
tale,0.0,0,1
dance,0.0,0,1
anybody,1.0,1,1
stomach,1.0,1,1
empty,0.0,0,1
far,0.2500,1,4
research,1.0,4,4
safety,1.0,1,1
master,1.0,1,1
hurry,0.0,0,1
language,0.0,0,1
describe,0.0,0,1
key,0.6,3,5
skirt,1.0,1,1
letter,1.0,1,1
accuse,0.0,0,1
lonely,0.0,0,1
indicate,0.0,0,1
neck,1.0,1,1
blind,0.0,0,1
content,0.0,0,1
adapt,1.0,1,1
employer,1.0,1,1
vehicle,0.0,0,1
rip,0.0,0,1
professional,1.0,1,1
recognize,1.0,1,1
allow,1.0,1,1
almost,0.0,0,1
tea,0.0,0,1
helpful,1.0,1,1
consist,0.0,0,1
base,0.0,0,1
represent,1.0,1,1
method,0.4286,3,7
description,0.0,0,1
whose,0.0,0,1
among,0.0,0,1
live,1.0,1,1
total,0.0,0,1
depend,0.0,0,1
principle,0.5000,1,2
extremely,1.0,1,1
last,0.375,3,8
relation,0.0,0,1
loss,0.0000,0,2
this,1.0,4,4
guard,0.0,0,1
mind,0.3,3,10
car,0.0,0,1
external,0.0,0,1
prevent,1.0,1,1
stretch,0.0,0,1
slightly,1.0,1,1
contest,0.0,0,1
freedom,0.5000,1,2
style,0.0,0,1
recognition,0.0,0,1
possibly,0.0000,0,2
pin,0.0,0,1
land,1.0,1,1
quality,1.0,1,1
honestly,0.0,0,1
combination,0.0,0,1
advertising,0.0,0,1
novel,0.0,0,1
hungry,0.0,0,1
electrical,1.0,1,1
degree,0.0,0,1
opening,0.0,0,1
hard,0.5,2,4
experience,0.6667,2,3
group,0.7222,13,18
various,0.7857,11,14
market,1.0,3,3
popular,0.8125,13,16
away,0.3333,1,3
economy,0.6667,2,3
story,0.2,1,5
process,0.625,5,8
basic,0.3333,2,6
natural,0.8333,5,6
data,0.0,0,3
product,0.6667,4,6
sense,0.375,3,8
personal,0.5,3,6
control,0.5000,3,6
temperature,0.875,14,16
least,0.0,0,3
off,0.125,1,8
problem,0.0,0,3
name,0.25,1,4
under,0.8,4,5
big,0.625,5,8
hot,0.0,0,2
answer,0.5,2,4
definition,0.0,0,2
either,0.6667,2,3
science,0.9167,11,12
early,0.65,13,20
past,0.913,21,23
web,0.0,0,3
try,0.3636,8,22
person,0.25,1,4
simple,0.5,3,6
size,0.0,0,4
increase,0.6,9,15
develop,0.5,1,2
test,0.0,0,3
card,0.8636,19,22
school,0.9286,13,14
practice,0.5294,9,17
body,0.5333,8,15
difficult,0.5294,9,17
particular,0.9286,13,14
show,0.85,17,20
top,0.7333,11,15
yourself,0.0833,1,12
against,0.75,9,12
move,0.4167,5,12
never,0.5,2,4
real,0.2857,2,7
scared,0.913,21,23
general,0.4375,7,16
lot,0.88,22,25
home,0.25,1,4
community,0.0,0,4
current,1.0,3,3
oven,0.5,3,6
company,0.5,3,6
second,0.3333,1,3
order,0.5,1,2
piece,0.8,4,5
again,0.4,2,5
knowledge,0.8824,15,17
library,0.5556,10,18
sound,0.75,6,8
actually,0.7143,10,14
consider,0.5455,6,11
always,0.6,3,5
tonight,0.5,3,6
including,0.6111,11,18
area,0.8,4,5
hand,0.8,4,5
enough,0.6,3,5
until,0.5,4,8
feel,0.2500,1,4
common,0.6667,10,15
line,0.5,2,4
power,0.8,12,15
literature,0.0,0,2
quite,0.4118,7,17
end,0.4667,7,15
play,0.2727,3,11
price,0.5,4,8
small,0.75,12,16
training,0.7273,8,11
heat,0.8846,23,26
someone,0.5,6,12
mental,0.7500,18,24
thanks,0.4286,3,7
thank,0.6923,9,13
national,0.5294,9,17
idea,0.5333,8,15
term,0.5385,14,26
along,0.8333,15,18
television,1.0,7,7
trade,0.8235,14,17
internet,0.6667,2,3
economics,0.5,2,4
activity,0.8,4,5
change,0.5,3,6
possible,0.6667,2,3
physical,0.7143,5,7
house,0.9474,18,19
include,0.5000,2,4
although,0.5,3,6
nature,0.0,0,3
check,0.8182,9,11
light,0.5,2,4
understand,0.8,4,5
risk,0.6667,2,3
law,0.625,5,8
useful,0.9,18,20
page,0.75,6,8
force,0.0,0,4
high,0.7778,7,9
ability,1.0,1,1
certain,0.3333,1,3
single,0.5,1,2
theory,0.75,3,4
food,0.5,2,4
create,0.4,2,5
less,0.875,14,16
sometimes,0.0,0,1
care,0.5,2,4
level,0.0,0,3
guide,1.0,3,3
historical,0.8333,10,12
long,1.0,2,2
she,0.6667,2,3
value,0.8571,6,7
say,0.25,1,4
media,0.8333,10,12
specific,1.0,3,3
sport,0.5714,4,7
likely,0.25,1,4
service,0.8333,5,6
fact,0.25,1,4
though,0.4,2,5
fun,0.75,6,8
whether,0.5,4,8
job,0.0,0,2
list,0.8333,10,12
today,0.8,4,5
cut,0.2,1,5
fat,0.3333,3,9
left,0.2500,1,4
industry,1.0,2,2
remember,0.0,0,1
united,0.75,3,4
love,0.25,1,4
generally,0.6667,2,3
radio,0.5,2,4
short,0.5,1,2
point,0.7273,8,11
provide,0.6667,2,3
several,1.0,11,11
little,0.6,3,5
three,0.6667,2,3
really,0.5,2,4
simply,0.3333,1,3
here,0.7333,11,15
let,0.3571,5,14
choose,0.6667,6,9
add,0.0,0,1
within,1.0000,16,16
thing,0.5,1,2
reading,0.6667,2,3
software,1.0000,3,3
set,0.0,0,1
next,0.5,1,2
call,0.0,0,1
society,0.0,0,3
put,1.0,2,2
amount,0.0,0,1
boss,0.5,2,4
book,0.0,0,1
music,0.0,0,1
instead,0.0,0,1
resort,0.0000,0,1
survey,1.0000,1,1
revolution,0.0000,0,1
respect,0.0000,0,1
sorry,0.0000,0,1
box,0.0000,0,1
scratch,0.5000,1,2
bone,1.0000,1,1
challenge,0.0000,0,1
assumption,0.0000,0,1
lecture,1.0000,1,1
replace,0.0000,0,1
eat,0.0000,0,4
anything,0.0000,0,1
originally,0.0000,0,1
garage,0.0000,0,1
adopt,0.0000,0,1
severe,0.0000,0,1
client,0.0000,0,1
luck,0.0000,0,1
purple,0.0000,0,1
delivery,0.0000,0,1
efficient,1.0000,1,1
mouse,0.0000,0,1
hello,0.0000,0,1
dangerous,0.0000,0,1
boy,0.0000,0,1
appear,0.0000,0,1
blank,1.0000,1,1
abroad,0.0000,0,1
white,0.0000,0,1
gently,1.0000,1,1
trash,0.0000,0,1
everywhere,0.0000,0,1
fast,0.0000,0,1
leading,0.0000,0,1
employ,0.0000,0,1
illegal,0.0000,0,1
weakness,1.0000,1,1
phone,0.0000,0,1
street,0.0000,0,1
project,0.0000,0,1
warn,1.0000,1,1
math,0.0000,0,1
orange,1.0000,1,1
agree,0.0000,0,1
sing,0.0000,0,1
rid,0.0000,0,1
arrive,1.0000,1,1
memory,0.0000,0,1
entertainment,0.0000,0,1
slip,0.0000,0,1
skill,1.0000,1,1
promotion,1.0000,1,1
significant,1.0000,1,1
speed,0.0000,0,1
twice,0.0000,0,1
argue,1.0000,1,1
ultimately,1.0000,1,1
pain,1.0000,1,1
church,0.0000,0,1
possess,0.0000,0,1
